province,party_code,party_name,party_scope,comparable_to_dpr,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,dpr_total_votes,dpr_vote_share,dprd_minus_dpr_vote_share,dprd_minus_dpr_seat_share
Jambi,PKS,Partai Keadilan Sejahtera,national,true,5,0.090909,0,0.000000,107298,0.054976,0.035933,0.090909
Jambi,PPP,Partai Persatuan Pembangunan,national,true,5,0.090909,0,0.000000,58114,0.029776,0.061133,0.090909
Jambi,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,12233,0.006268,-0.006268,0.000000
Jambi,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,6729,0.003448,-0.003448,0.000000
Jambi,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,15627,0.008007,-0.008007,0.000000
Jambi,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,12783,0.006550,-0.006550,0.000000
Jambi,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,5457,0.002796,-0.002796,0.000000
Jambi,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,5656,0.002898,-0.002898,0.000000
Jambi,PSI,Partai Solidaritas Indonesia,national,true,0,0.000000,0,0.000000,34649,0.017753,-0.017753,0.000000
Jambi,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,28989,0.014853,-0.014853,0.000000
Jambi,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,10135,0.005193,-0.005193,0.000000
Jawa Barat,Gerindra,Partai Gerakan Indonesia Raya,national,true,20,0.166667,16,0.175824,4197376,0.159648,0.007019,-0.009158
Jawa Barat,Golkar,Partai Golongan Karya,national,true,19,0.158333,17,0.186813,4292082,0.163250,-0.004917,-0.028480
Jawa Barat,PKS,Partai Keadilan Sejahtera,national,true,19,0.158333,12,0.131868,3505195,0.133321,0.025013,0.026465
Jawa Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,17,0.141667,11,0.120879,2983432,0.113475,0.028191,0.020788
Jawa Barat,PKB,Partai Kebangkitan Bangsa,national,true,15,0.125000,13,0.142857,2876990,0.109427,0.015573,-0.017857
Jawa Barat,Demokrat,Partai Demokrat,national,true,8,0.066667,6,0.065934,1779410,0.067680,-0.001014,0.000733
Jawa Barat,NasDem,Partai NasDem,national,true,8,0.066667,8,0.087912,1689044,0.064243,0.002424,-0.021245
Jawa Barat,PAN,Partai Amanat Nasional,national,true,7,0.058333,8,0.087912,1885165,0.071703,-0.013369,-0.029579
Jawa Barat,PPP,Partai Persatuan Pembangunan,national,true,6,0.050000,0,0.000000,1197820,0.045559,0.004441,0.050000
