province,party_code,party_name,provincial_seats,kabkot_seats,kabkot_to_provincial_ratio,ratio_defined
Bengkulu,PSI,Partai Solidaritas Indonesia,0,0,,false
Bengkulu,Perindo,Partai Perindo,0,21,,false
Bengkulu,PPP,Partai Persatuan Pembangunan,1,16,16.000000,true
Bengkulu,PNA,PNA,0,0,,false
Bengkulu,Gabthat,Gabthat,0,0,,false
Bengkulu,PDA,PDA,0,0,,false
Bengkulu,PA,PA,0,0,,false
Bengkulu,PASA,PASA,0,0,,false
Bengkulu,SIRA,SIRA,0,0,,false
Bengkulu,Ummat,Partai Ummat,0,0,,false
Lampung,PKB,Partai Kebangkitan Bangsa,11,78,7.090909,true
Lampung,Gerindra,Partai Gerakan Indonesia Raya,16,91,5.687500,true
Lampung,PDIP,Partai Demokrasi Indonesia Perjuangan,13,98,7.538462,true
Lampung,Golkar,Partai Golongan Karya,11,83,7.545455,true
Lampung,NasDem,Partai NasDem,10,71,7.100000,true
Lampung,Buruh,Partai Buruh,0,1,,false
Lampung,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Lampung,PKS,Partai Keadilan Sejahtera,7,47,6.714286,true
Lampung,PKN,Partai Kebangkitan Nusantara,0,0,,false
Lampung,Hanura,Partai Hati Nurani Rakyat,0,2,,false
Lampung,Garuda,Partai Garda Republik Indonesia,0,0,,false
Lampung,PAN,Partai Amanat Nasional,8,52,6.500000,true
Lampung,PBB,Partai Bulan Bintang,0,0,,false
Lampung,Demokrat,Partai Demokrat,9,61,6.777778,true
Lampung,PSI,Partai Solidaritas Indonesia,0,0,,false
Lampung,Perindo,Partai Perindo,0,3,,false
Lampung,PPP,Partai Persatuan Pembangunan,0,13,,false
Lampung,PNA,PNA,0,0,,false
Lampung,Gabthat,Gabthat,0,0,,false
Lampung,PDA,PDA,0,0,,false
Lampung,PA,PA,0,0,,false
Lampung,PASA,PASA,0,0,,false
Lampung,SIRA,SIRA,0,0,,false
Lampung,Ummat,Partai Ummat,0,0,,false
DKI Jakarta,PKB,Partai Kebangkitan Bangsa,10,0,0.000000,true
DKI Jakarta,Gerindra,Partai Gerakan Indonesia Raya,14,0,0.000000,true
DKI Jakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,15,0,0.000000,true
DKI Jakarta,Golkar,Partai Golongan Karya,10,0,0.000000,true
DKI Jakarta,NasDem,Partai NasDem,11,0,0.000000,true
DKI Jakarta,Buruh,Partai Buruh,0,0,,false
DKI Jakarta,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
DKI Jakarta,PKS,Partai Keadilan Sejahtera,18,0,0.000000,true
DKI Jakarta,PKN,Partai Kebangkitan Nusantara,0,0,,false
DKI Jakarta,Hanura,Partai Hati Nurani Rakyat,0,0,,false
DKI Jakarta,Garuda,Partai Garda Republik Indonesia,0,0,,false
DKI Jakarta,PAN,Partai Amanat Nasional,10,0,0.000000,true
DKI Jakarta,PBB,Partai Bulan Bintang,0,0,,false
DKI Jakarta,Demokrat,Partai Demokrat,8,0,0.000000,true
DKI Jakarta,PSI,Partai Solidaritas Indonesia,8,0,0.000000,true
DKI Jakarta,Perindo,Partai Perindo,1,0,0.000000,true
DKI Jakarta,PPP,Partai Persatuan Pembangunan,1,0,0.000000,true
DKI Jakarta,PNA,PNA,0,0,,false
DKI Jakarta,Gabthat,Gabthat,0,0,,false
DKI Jakarta,PDA,PDA,0,0,,false
DKI Jakarta,PA,PA,0,0,,false
DKI Jakarta,PASA,PASA,0,0,,false
DKI Jakarta,SIRA,SIRA,0,0,,false
DKI Jakarta,Ummat,Partai Ummat,0,0,,false
Jawa Barat,PKB,Partai Kebangkitan Bangsa,15,162,10.800000,true
Jawa Barat,Gerindra,Partai Gerakan Indonesia Raya,20,187,9.350000,true
Jawa Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,17,200,11.764706,true
Jawa Barat,Golkar,Partai Golongan Karya,19,207,10.894737,true
Jawa Barat,NasDem,Partai NasDem,8,88,11.000000,true
Jawa Barat,Buruh,Partai Buruh,0,2,,false
Jawa Barat,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Jawa Barat,PKS,Partai Keadilan Sejahtera,19,180,9.473684,true
Jawa Barat,PKN,Partai Kebangkitan Nusantara,0,0,,false
Jawa Barat,Hanura,Partai Hati Nurani Rakyat,0,6,,false
Jawa Barat,Garuda,Partai Garda Republik Indonesia,0,0,,false
Jawa Barat,PAN,Partai Amanat Nasional,7,82,11.714286,true
Jawa Barat,PBB,Partai Bulan Bintang,0,3,,false
Jawa Barat,Demokrat,Partai Demokrat,8,97,12.125000,true
Jawa Barat,PSI,Partai Solidaritas Indonesia,1,8,8.000000,true
Jawa Barat,Perindo,Partai Perindo,0,1,,false
Jawa Barat,PPP,Partai Persatuan Pembangunan,6,72,12.000000,true
Jawa Barat,PNA,PNA,0,0,,false
Jawa Barat,Gabthat,Gabthat,0,0,,false
Jawa Barat,PDA,PDA,0,0,,false
Jawa Barat,PA,PA,0,0,,false
Jawa Barat,PASA,PASA,0,0,,false
Jawa Barat,SIRA,SIRA,0,0,,false
Jawa Barat,Ummat,Partai Ummat,0,0,,false
Jawa Tengah,PKB,Partai Kebangkitan Bangsa,20,265,13.250000,true
Jawa Tengah,Gerindra,Partai Gerakan Indonesia Raya,17,193,11.352941,true
Jawa Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,33,444,13.454545,true
Jawa Tengah,Golkar,Partai Golongan Karya,17,194,11.411765,true
Jawa Tengah,NasDem,Partai NasDem,3,75,25.000000,true
Jawa Tengah,Buruh,Partai Buruh,0,0,,false
Jawa Tengah,Gelora,Partai Gelombang Rakyat Indonesia,0,1,,false
Jawa Tengah,PKS,Partai Keadilan Sejahtera,11,138,12.545455,true
Jawa Tengah,PKN,Partai Kebangkitan Nusantara,0,0,,false
Jawa Tengah,Hanura,Partai Hati Nurani Rakyat,0,22,,false
Jawa Tengah,Garuda,Partai Garda Republik Indonesia,0,0,,false
Jawa Tengah,PAN,Partai Amanat Nasional,4,68,17.000000,true
Jawa Tengah,PBB,Partai Bulan Bintang,0,0,,false
Jawa Tengah,Demokrat,Partai Demokrat,7,89,12.714286,true
Jawa Tengah,PSI,Partai Solidaritas Indonesia,2,10,5.000000,true
Jawa Tengah,Perindo,Partai Perindo,0,3,,false
Jawa Tengah,PPP,Partai Persatuan Pembangunan,6,108,18.000000,true
Jawa Tengah,PNA,PNA,0,0,,false
Jawa Tengah,Gabthat,Gabthat,0,0,,false
