province,province_raw,district,party_number,party_code,party_name,party_vote,candidate_number,candidate_name,candidate_vote,candidate_rank,candidate_rank_raw
Aceh,ACEH,ACEH II,2,Gerindra,Partai Gerakan Indonesia Raya,13723,4,"H. FACHRUL RAZI, M.I.P.",6682,4,IV
Aceh,ACEH,ACEH II,2,Gerindra,Partai Gerakan Indonesia Raya,13723,3,CUT PUTEH,3228,5,V
Aceh,ACEH,ACEH II,2,Gerindra,Partai Gerakan Indonesia Raya,13723,6,"DEWI KARTIKA, S.H.",1013,6,VI
Aceh,ACEH,ACEH II,3,PDIP,Partai Demokrasi Indonesia Perjuangan,4421,1,ARWIN MEGA,10577,1,I
Aceh,ACEH,ACEH II,3,PDIP,Partai Demokrasi Indonesia Perjuangan,4421,2,HANAFIAH,2117,2,II
Aceh,ACEH,ACEH II,3,PDIP,Partai Demokrasi Indonesia Perjuangan,4421,3,DWI AYU MARGASARI,1213,3,III
Aceh,ACEH,ACEH II,3,PDIP,Partai Demokrasi Indonesia Perjuangan,4421,4,"M. SALADIN AKBAR, S.ST.",975,4,IV
Aceh,ACEH,ACEH II,3,PDIP,Partai Demokrasi Indonesia Perjuangan,4421,5,MAS ADI M,449,5,V
Aceh,ACEH,ACEH II,3,PDIP,Partai Demokrasi Indonesia Perjuangan,4421,6,DWI KRISTINAWATI,307,6,VI
Aceh,ACEH,ACEH II,4,Golkar,Partai Golongan Karya,21170,1,H. ILHAM PANGESTU,204199,1,I
Aceh,ACEH,ACEH II,4,Golkar,Partai Golongan Karya,21170,6,SAMSUL BAHRI TIYONG,86109,2,II
Aceh,ACEH,ACEH II,4,Golkar,Partai Golongan Karya,21170,5,drh. NURAINI MAIDA,9608,3,III
Aceh,ACEH,ACEH II,4,Golkar,Partai Golongan Karya,21170,2,"H. SAYED FUAD ZAKARIA, S.E.",6690,4,IV
Aceh,ACEH,ACEH II,4,Golkar,Partai Golongan Karya,21170,4,MOHD AMIN,4670,5,V
Aceh,ACEH,ACEH II,4,Golkar,Partai Golongan Karya,21170,3,"CUT RIZKA SEPTIANI, S.I.Kom., M.Si.",3724,6,VI
Aceh,ACEH,ACEH II,5,NasDem,Partai NasDem,19534,5,"IRSAN SOSIAWAN, M.B.A.",66009,1,I
Aceh,ACEH,ACEH II,5,NasDem,Partai NasDem,19534,2,"Ir. H. NASARUDDIN, M.M.",44402,2,II
Aceh,ACEH,ACEH II,5,NasDem,Partai NasDem,19534,1,"Prof. Dr. Ir. H. ABDULLAH PUTEH, M.Si.",23348,3,III
Aceh,ACEH,ACEH II,5,NasDem,Partai NasDem,19534,6,Hj. FATIMAH,9503,4,IV
Aceh,ACEH,ACEH II,5,NasDem,Partai NasDem,19534,3,"Hj. ISMANIAR, S.E.",4071,5,V
Aceh,ACEH,ACEH II,5,NasDem,Partai NasDem,19534,4,"AGUS HIDAYAT THAIB, S.E.",2413,6,VI
Aceh,ACEH,ACEH II,6,Buruh,Partai Buruh,2241,1,Drs. Agus Syahputra,1945,1,I
Aceh,ACEH,ACEH II,6,Buruh,Partai Buruh,2241,2,Fitria Ningsih,667,2,II
Aceh,ACEH,ACEH II,6,Buruh,Partai Buruh,2241,3,Marjuki,503,3,III
Aceh,ACEH,ACEH II,6,Buruh,Partai Buruh,2241,6,Tukimin,306,4,IV
Aceh,ACEH,ACEH II,6,Buruh,Partai Buruh,2241,4,Abdi Hasan Subari,301,5,V
Aceh,ACEH,ACEH II,6,Buruh,Partai Buruh,2241,5,Arianingsih,130,6,VI
Aceh,ACEH,ACEH II,7,Gelora,Partai Gelombang Rakyat Indonesia,2521,1,"H. FUADY, S.T., M.Si.",2634,1,I
Aceh,ACEH,ACEH II,7,Gelora,Partai Gelombang Rakyat Indonesia,2521,2,FAUZI RAMADHAN,1446,2,II
Aceh,ACEH,ACEH II,7,Gelora,Partai Gelombang Rakyat Indonesia,2521,4,ZULKIFLI USMAN,749,3,III
Aceh,ACEH,ACEH II,7,Gelora,Partai Gelombang Rakyat Indonesia,2521,3,"SARI DEWI, S.E.",730,4,IV
Aceh,ACEH,ACEH II,7,Gelora,Partai Gelombang Rakyat Indonesia,2521,5,EGA SURYANINGSIH,186,5,V
Aceh,ACEH,ACEH II,8,PKS,Partai Keadilan Sejahtera,14019,1,"M. NASIR DJAMIL, M.Si.",59552,1,I
Aceh,ACEH,ACEH II,8,PKS,Partai Keadilan Sejahtera,14019,2,"TENGKU INSYAFUDDIN, S.T.",13763,2,II
Aceh,ACEH,ACEH II,8,PKS,Partai Keadilan Sejahtera,14019,4,"dr. EDDI JUNAIDI, Sp.OG., S.H., M.Kes.",8239,3,III
Aceh,ACEH,ACEH II,8,PKS,Partai Keadilan Sejahtera,14019,5,AIDIL FAN,3711,4,IV
Aceh,ACEH,ACEH II,8,PKS,Partai Keadilan Sejahtera,14019,6,"FARAH FAADHILAH, S.Ag.",2670,5,V
Aceh,ACEH,ACEH II,8,PKS,Partai Keadilan Sejahtera,14019,3,"ANANDA FILDZA ALIFA, S.Sos.",2186,6,VI
Aceh,ACEH,ACEH II,9,PKN,Partai Kebangkitan Nusantara,534,1,ZULFIKAR H.,857,1,I
Aceh,ACEH,ACEH II,9,PKN,Partai Kebangkitan Nusantara,534,2,RAZUARDI,319,2,II
Aceh,ACEH,ACEH II,9,PKN,Partai Kebangkitan Nusantara,534,4,"URIESSAMADIN, S.Hut.",157,3,III
Aceh,ACEH,ACEH II,9,PKN,Partai Kebangkitan Nusantara,534,3,RINI ANDIYANI,147,4,IV
Aceh,ACEH,ACEH II,9,PKN,Partai Kebangkitan Nusantara,534,5,NABILA ARFAH YUANA,107,5,V
Aceh,ACEH,ACEH II,9,PKN,Partai Kebangkitan Nusantara,534,6,"M. PAISAL AK PUTEH, S.E.",87,6,VI
Aceh,ACEH,ACEH II,10,Hanura,Partai Hati Nurani Rakyat,2075,2,"USMAN ABDULLAH, S.E.",16007,1,I
Aceh,ACEH,ACEH II,10,Hanura,Partai Hati Nurani Rakyat,2075,1,Ir. H. ZULNAHAR USMAN,2624,2,II
Aceh,ACEH,ACEH II,10,Hanura,Partai Hati Nurani Rakyat,2075,5,"CUT MEUTIA, S.H., M.H.",2108,3,III
Aceh,ACEH,ACEH II,10,Hanura,Partai Hati Nurani Rakyat,2075,4,"KHALID SAPUTRA, S.Kom.",1778,4,IV
Aceh,ACEH,ACEH II,10,Hanura,Partai Hati Nurani Rakyat,2075,3,"NOVI YUNITA, S.E.",643,5,V
Aceh,ACEH,ACEH II,10,Hanura,Partai Hati Nurani Rakyat,2075,6,NAZAR,205,6,VI
Aceh,ACEH,ACEH II,11,Garuda,Partai Garda Republik Indonesia,1327,1,MAULUDDIN,1721,1,I
Aceh,ACEH,ACEH II,11,Garuda,Partai Garda Republik Indonesia,1327,2,ZIMI ARAMIKO,895,2,II
Aceh,ACEH,ACEH II,11,Garuda,Partai Garda Republik Indonesia,1327,3,"TAMY FATMILA IBRAHIM, S.Sos.I.",577,3,III
Aceh,ACEH,ACEH II,11,Garuda,Partai Garda Republik Indonesia,1327,4,"MUSTAFA ABDULLAH, S.E.",503,4,IV
Aceh,ACEH,ACEH II,11,Garuda,Partai Garda Republik Indonesia,1327,5,ARI YOGA,217,5,V
Aceh,ACEH,ACEH II,11,Garuda,Partai Garda Republik Indonesia,1327,6,KARYAWATI,100,6,VI
Aceh,ACEH,ACEH II,12,PAN,Partai Amanat Nasional,7369,1,Ir. H. MAWARDI ALI,27381,1,I
Aceh,ACEH,ACEH II,12,PAN,Partai Amanat Nasional,7369,4,"H. AMINULLAH USMAN, S.E.Ak., M.M.",26957,2,II
Aceh,ACEH,ACEH II,12,PAN,Partai Amanat Nasional,7369,3,Ir. MEUTIA SAFRIDA,10197,3,III
Aceh,ACEH,ACEH II,12,PAN,Partai Amanat Nasional,7369,2,"Dr. H. S MALTHA, S.I.K., S.H., M.Si.",5829,4,IV
Aceh,ACEH,ACEH II,12,PAN,Partai Amanat Nasional,7369,6,"TEUKU HASBULLAH H.D., S.T.",3900,5,V
Aceh,ACEH,ACEH II,12,PAN,Partai Amanat Nasional,7369,5,NONONG SAKURA,1210,6,VI
Aceh,ACEH,ACEH II,13,PBB,Partai Bulan Bintang,1997,1,"RUSLI, S.Sos.I.",2062,1,I
Aceh,ACEH,ACEH II,13,PBB,Partai Bulan Bintang,1997,2,"MAWARDI, S.Pd.",1385,2,II
Aceh,ACEH,ACEH II,13,PBB,Partai Bulan Bintang,1997,5,MUZAKKIR,794,3,III
Aceh,ACEH,ACEH II,13,PBB,Partai Bulan Bintang,1997,4,T. MAHYUDDIN A.R.,449,4,IV
Aceh,ACEH,ACEH II,13,PBB,Partai Bulan Bintang,1997,3,"Rita Septiana, A.Md.Keb.",285,5,V
Aceh,ACEH,ACEH II,13,PBB,Partai Bulan Bintang,1997,6,Rosda Lyanti,106,6,VI
Aceh,ACEH,ACEH II,14,Demokrat,Partai Demokrat,10935,1,"MUSLIM, S.H.I., M.M.",54414,1,I
Aceh,ACEH,ACEH II,14,Demokrat,Partai Demokrat,10935,2,"RIDHWAN ARIFFALAH RUSLI BINTANG, B.Sc., M.A.",13783,2,II
Aceh,ACEH,ACEH II,14,Demokrat,Partai Demokrat,10935,4,HERIYANSYAH,7514,3,III
Aceh,ACEH,ACEH II,14,Demokrat,Partai Demokrat,10935,3,CUT YANTI NORA,4351,4,IV
Aceh,ACEH,ACEH II,14,Demokrat,Partai Demokrat,10935,5,"HAMZAH TUN, S.H.",1807,5,V
Aceh,ACEH,ACEH II,14,Demokrat,Partai Demokrat,10935,6,"ADE REZA MEUTIA, S.Tr.Keb.",634,6,VI
Aceh,ACEH,ACEH II,15,PSI,Partai Solidaritas Indonesia,2395,1,"MUHAMMAD ZUBIR, S.H., M.H.",2006,1,I
Aceh,ACEH,ACEH II,15,PSI,Partai Solidaritas Indonesia,2395,2,HERIZAL,676,2,II
Aceh,ACEH,ACEH II,15,PSI,Partai Solidaritas Indonesia,2395,4,HAMDANI,460,3,III
Aceh,ACEH,ACEH II,15,PSI,Partai Solidaritas Indonesia,2395,3,"YUNINGSIH, S.E.",273,4,IV
