province,province_raw,party_code,party_name,kabkot_seats
Banten,Banten,SIRA,SIRA,0
Banten,Banten,Ummat,Partai Ummat,0
Bali,Bali,PKB,Partai Kebangkitan Bangsa,3
Bali,Bali,Gerindra,Partai Gerakan Indonesia Raya,47
Bali,Bali,PDIP,Partai Demokrasi Indonesia Perjuangan,191
Bali,Bali,Golkar,Partai Golongan Karya,60
Bali,Bali,NasDem,Partai NasDem,17
Bali,Bali,Buruh,Partai Buruh,0
Bali,Bali,Gelora,Partai Gelombang Rakyat Indonesia,1
Bali,Bali,PKS,Partai Keadilan Sejahtera,0
Bali,Bali,PKN,Partai Kebangkitan Nusantara,0
Bali,Bali,Hanura,Partai Hati Nurani Rakyat,6
Bali,Bali,Garuda,Partai Garda Republik Indonesia,0
Bali,Bali,PAN,Partai Amanat Nasional,0
Bali,Bali,PBB,Partai Bulan Bintang,0
Bali,Bali,Demokrat,Partai Demokrat,26
Bali,Bali,PSI,Partai Solidaritas Indonesia,4
Bali,Bali,Perindo,Partai Perindo,3
Bali,Bali,PPP,Partai Persatuan Pembangunan,2
Bali,Bali,PNA,PNA,0
Bali,Bali,Gabthat,Gabthat,0
Bali,Bali,PDA,PDA,0
Bali,Bali,PA,PA,0
Bali,Bali,PASA,PASA,0
Bali,Bali,SIRA,SIRA,0
Bali,Bali,Ummat,Partai Ummat,0
Nusa Tenggara Barat,West Nusa Tenggara,PKB,Partai Kebangkitan Bangsa,33
Nusa Tenggara Barat,West Nusa Tenggara,Gerindra,Partai Gerakan Indonesia Raya,46
Nusa Tenggara Barat,West Nusa Tenggara,PDIP,Partai Demokrasi Indonesia Perjuangan,27
Nusa Tenggara Barat,West Nusa Tenggara,Golkar,Partai Golongan Karya,52
Nusa Tenggara Barat,West Nusa Tenggara,NasDem,Partai NasDem,43
Nusa Tenggara Barat,West Nusa Tenggara,Buruh,Partai Buruh,0
Nusa Tenggara Barat,West Nusa Tenggara,Gelora,Partai Gelombang Rakyat Indonesia,9
Nusa Tenggara Barat,West Nusa Tenggara,PKS,Partai Keadilan Sejahtera,41
Nusa Tenggara Barat,West Nusa Tenggara,PKN,Partai Kebangkitan Nusantara,0
Nusa Tenggara Barat,West Nusa Tenggara,Hanura,Partai Hati Nurani Rakyat,9
Nusa Tenggara Barat,West Nusa Tenggara,Garuda,Partai Garda Republik Indonesia,0
Nusa Tenggara Barat,West Nusa Tenggara,PAN,Partai Amanat Nasional,34
Nusa Tenggara Barat,West Nusa Tenggara,PBB,Partai Bulan Bintang,10
Nusa Tenggara Barat,West Nusa Tenggara,Demokrat,Partai Demokrat,34
Nusa Tenggara Barat,West Nusa Tenggara,PSI,Partai Solidaritas Indonesia,0
Nusa Tenggara Barat,West Nusa Tenggara,Perindo,Partai Perindo,11
Nusa Tenggara Barat,West Nusa Tenggara,PPP,Partai Persatuan Pembangunan,35
Nusa Tenggara Barat,West Nusa Tenggara,PNA,PNA,0
Nusa Tenggara Barat,West Nusa Tenggara,Gabthat,Gabthat,0
Nusa Tenggara Barat,West Nusa Tenggara,PDA,PDA,0
Nusa Tenggara Barat,West Nusa Tenggara,PA,PA,0
Nusa Tenggara Barat,West Nusa Tenggara,PASA,PASA,0
Nusa Tenggara Barat,West Nusa Tenggara,SIRA,SIRA,0
Nusa Tenggara Barat,West Nusa Tenggara,Ummat,Partai Ummat,1
Nusa Tenggara Timur,East Nusa Tenggara,PKB,Partai Kebangkitan Bangsa,76
Nusa Tenggara Timur,East Nusa Tenggara,Gerindra,Partai Gerakan Indonesia Raya,73
Nusa Tenggara Timur,East Nusa Tenggara,PDIP,Partai Demokrasi Indonesia Perjuangan,82
