province,party,seats,source_url,notes
DI Yogyakarta,PKB,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
DI Yogyakarta,PAN,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
DI Yogyakarta,NasDem,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
DI Yogyakarta,PPP,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
DI Yogyakarta,PSI,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
Jawa Timur,PKB,27,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,Gerindra,21,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,PDI-P,21,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,Golkar,15,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,Demokrat,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,PAN,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,PKS,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,PPP,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Jawa Timur,PSI,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Timur,elected party seats only
Bali,PDI-P,32,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bali,elected party seats only
Bali,Gerindra,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bali,elected party seats only
Bali,Golkar,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bali,elected party seats only
Bali,Demokrat,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bali,elected party seats only
Bali,NasDem,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bali,elected party seats only
Bali,PSI,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bali,elected party seats only
Nusa Tenggara Barat,Gerindra,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,Golkar,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,PKS,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,PPP,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,Demokrat,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,PKB,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,NasDem,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,PAN,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
Nusa Tenggara Barat,PDI-P,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Nusa_Tenggara_Barat,elected party seats only
